no,名前,ファイル名,検索リンク,URL,状態
1,パトカー,patoka.jpg,https://www.google.com/search?q=パトカー+日本&tbm=isch,,済み
2,しろバイ,shirobai.jpg,https://www.google.com/search?q=白バイ+日本&tbm=isch,,済み
3,じこしょりしゃ,jikoshorisha.jpg,https://www.google.com/search?q=事故処理車+日本&tbm=isch,,済み
4,きどうたいレスキューしゃ,kidotai_rescue.jpg,https://www.google.com/search?q=機動隊+レスキュー車+日本&tbm=isch,,済み
5,しきしゃ,shikisha.jpg,https://www.google.com/search?q=警察+指揮車+日本&tbm=isch,,済み
6,きどうたいゆそうしゃ,kidotai_yuso.jpg,https://www.google.com/search?q=機動隊+輸送車+日本&tbm=isch,,済み
7,さいがいかつどうしゃ,saigai_katsu.jpg,https://www.google.com/search?q=災害活動車+警察+日本&tbm=isch,,済み
8,こうきどうしゃ,kokidosha.jpg,https://www.google.com/search?q=高機動車+警察+日本&tbm=isch,,済み
9,ポンプしゃ,ponpusha.jpg,https://www.google.com/search?q=消防+ポンプ車+日本&tbm=isch,,済み
10,はしごしゃ,hashigosha.jpg,https://www.google.com/search?q=はしご車+消防+日本&tbm=isch,,済み
11,ブロワーしゃ,blowersha.jpg,https://www.google.com/search?q=ブロワー車+消防+日本&tbm=isch,,済み
12,しょうめいしゃ,shomeisha.jpg,https://www.google.com/search?q=照明車+消防+日本&tbm=isch,,済み
13,きゅうきゅうしゃ,kyukyusha.jpg,https://www.google.com/search?q=救急車+日本&tbm=isch,,済み
14,スーパーアンビュランス,super_ambulance.jpg,https://www.google.com/search?q=スーパーアンビュランス+東京消防庁&tbm=isch,,済み
15,ドクターヘリ,doctor_heri.jpg,https://www.google.com/search?q=ドクターヘリ+日本&tbm=isch,https://www.osaka-u-taccc.com/wp/wp-content/uploads/2022/12/O4A4316.jpeg,
16,どうろパトロールカー,doro_patrol.jpg,https://www.google.com/search?q=道路パトロールカー+日本&tbm=isch,https://hashizume-ltd.com/wp-content/uploads/2017/02/CIMG6836.jpg,
17,レッカーしゃ,rekkasha.jpg,https://www.google.com/search?q=レッカー車+日本&tbm=isch,https://d1uzk9o9cg136f.cloudfront.net/f/16783525/rc/2022/01/27/29a9a6822fb52786e1b5369eff758b7d8bc9fd56_xlarge.jpg,
18,タクシー,taxi.jpg,https://www.google.com/search?q=タクシー+日本&tbm=isch,https://upload.wikimedia.org/wikipedia/commons/2/2f/Honjo_taxi_2007-01.jpg,
19,バス,bus.jpg,https://www.google.com/search?q=路線バス+日本&tbm=isch,https://epic-j.com/jp/wp-content/uploads/sites/2/2019/12/bus.jpg,
21,ゆうびんしゃ,yubinsha.jpg,https://www.google.com/search?q=郵便車+日本&tbm=isch,https://gazoo.com/pages/contents/article/working_vehicle/140130_2/01.jpg,
22,たくはいしゃ,takuhaisha.jpg,https://www.google.com/search?q=宅配車+日本&tbm=isch,https://www.monomagazine.com/wp-content/uploads/2021/02/yamato_3-1024x683.jpg,
24,パネルバン,panelvan.jpg,https://www.google.com/search?q=パネルバン+日本&tbm=isch,https://minicar.tomytec.co.jp/common/api/image.php?jancode=4543736244363&num=1,
25,タンクローリー,tank_lorry.jpg,https://www.google.com/search?q=タンクローリー+日本&tbm=isch,https://hokuriku-nihonkaiyuso.co.jp/hny/wp-content/uploads/2022/08/tanklorry_01.jpg,
26,カーキャリア,car_carrier.jpg,https://www.google.com/search?q=カーキャリア+日本&tbm=isch,https://upload.wikimedia.org/wikipedia/commons/6/66/%E3%83%88%E3%83%A8%E3%82%BF%E8%BC%B8%E9%80%81%E6%89%80%E6%9C%89%E3%81%AE21m%E3%82%AD%E3%83%A3%E3%83%AA%E3%82%A2%E3%82%AB%E3%83%BC.jpg,
27,いどうはんばいしゃ,ido_hanbai.jpg,https://www.google.com/search?q=移動販売車+日本&tbm=isch,https://kuruma-news.jp/wp-content/uploads/2021/05/20200522_Food_002-650x433.jpg?v=1590144955,
28,テレビちゅうけいしゃ,tv_chukei.jpg,https://www.google.com/search?q=テレビ中継車+日本&tbm=isch,https://assets.st-note.com/production/uploads/images/54867219/picture_pc_bce2b21984ecc6a27d024b1eb5a5995d.jpeg?width=1200,
29,じしんたいけんしゃ,jishin_taiken.jpg,https://www.google.com/search?q=地震体験車+日本&tbm=isch,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO4748529023042024000000-1.jpg?ixlib=js-3.8.0&w=638&h=479&auto=format%2Ccompress&fit=crop&bg=FFFFFF&s=6ef4825f62802bb19773f30be4789d8b,
30,いどうすいぞくかん,ido_suizokukan.jpg,https://www.google.com/search?q=移動水族館+日本&tbm=isch,https://www.aquamarine.or.jp/wp-content/uploads/2018/02/pic-aquaravan02.jpg,
31,ウイングトラック,wing_truck.jpg,https://www.google.com/search?q=ウイングトラック+日本&tbm=isch,https://shima-corp.com/labo/wp-content/uploads/2022/03/Super-Great.jpg,
32,フォークリフト,forklift.jpg,https://www.google.com/search?q=フォークリフト+日本&tbm=isch,https://www.fuji-auto-ind.co.jp/wp-content/uploads/bbee7801bf880715f1870fd75efddaac.jpg,
